category,count,percentage
Regular Papers,1250,84.6883
Datasets,123,8.3333
Brave New Ideas,44,2.9810
Demo/Video,30,2.0325
Open Source Software,14,0.9485
Interactive Art,12,0.8130
Doctoral Symposium,3,0.2033
